track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,sections,target,chart_date,duration_ms,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists
EL TORO COMBO MEAL (feat. Mavi),Earl Sweatshirt,spotify:track:4PBRfiwBQiFkZVZED0ktV7,0.45,0.871,10,-4.542,0,0.353,0.8740000000000001,4.63e-06,0.395,0.34700000000000003,85.92200000000001,4,8,0,,151860,49,2019-11-01,0,71,1332291,2,"['3A5tHz1SfngyOZM2gItYKu', '1peoXq0RPx7czVoFjloeDQ']"
Loungin',Guru,spotify:track:60kFLAgyjxu8rK2eIRjxaa,0.725,0.6809999999999999,10,-9.823,0,0.20199999999999999,0.0774,1.13e-06,0.91,0.71,99.074,4,13,0,,278226,2,2019-02-22,0,58,221199,2,"['6xyaria4AcxjRuJZLkWvMW', '3ZUZYvTkSr7kJQyAXVpqaL']"
A Clear Mind,Julius Aston,spotify:track:2pypBNUUzViaP7Dswi9zpF,0.268,0.0058,10,-31.607,1,0.0466,0.992,0.929,0.124,0.126,69.709,3,6,0,,173696,57,2018-05-08,0,50,3289,1,['6evK56MPQbVzQaWuGcS4Rm']
The Sacristan,Arve Henriksen,spotify:track:2qpYQYAcYlQSxJjAs11fty,0.309,0.0126,6,-20.379,0,0.0451,0.988,0.8640000000000001,0.106,0.0784,119.8,5,12,0,,191705,9,2013-09-06,0,44,13903,1,['32pN1An13076I4PTMzn2g7']
"Freiheit, Gleichheit, Brüderlichkeit",Die Apokalyptischen Reiter,spotify:track:2li2HeP3G9eWYW80QKOSW4,0.5589999999999999,0.938,0,-4.388,1,0.0514,0.000398,1.24e-05,0.153,0.46,133.97899999999998,4,9,0,,208413,0,2016-03-25,0,45,48409,1,['04L8hbMJRQ5vFnLeDgA8xn']
God's Great Dance Floor - Remix,Reyer,spotify:track:1tEDlKg1Rmv9sE6z1XR6Vy,0.618,0.565,6,-8.575,0,0.0916,0.00993,7.65e-05,0.0835,0.628,127.985,4,8,0,,230156,31,2013-11-15,0,46,15247,1,['54UJV3OPkBfR4V92nsYs1Z']
Future Universal Histories,Solefald,spotify:track:1Ua8hlm9Qdzh7njb6DbDOH,0.261,0.925,4,-4.691,0,0.14400000000000002,0.00498,0.00433,0.28600000000000003,0.212,95.031,4,14,0,,408125,6,2015-02-02,0,19,11014,1,['1jBJHkyQLO6Ga1Dx3W6nG3']
Science Beat,Have A Nice Life,spotify:track:7t0LDGGUo33r1iACJK8S6a,0.354,0.391,10,-15.345999999999998,1,0.0302,0.0363,0.789,0.14800000000000002,0.625,151.018,3,19,0,,335957,39,2019-11-08,0,53,82647,1,['0FRKTwQSToXpCxYMhyUzYY']
Puppet Master (feat. B Real & Dr. Dre),DJ Muggs,spotify:track:5WhyUwI1SgW6rev1PAVkq9,0.599,0.491,10,-11.665999999999999,0,0.429,0.0395,0.0006799999999999999,0.655,0.429,177.122,4,9,0,,300133,28,2019-04-19,0,82,5260992,3,"['7pDkjftAxiFHomWsPNkapS', '0gM2KmprOw7Av67q91wK6N', '6DPYiyq5kWVQS4RGwxzPC7']"
The Clearing Blind,Novembers Doom,spotify:track:21z7uOXvnrB92DMkZo8Bsr,0.406,0.662,0,-12.605,0,0.0309,0.00018899999999999999,0.00035800000000000003,0.0679,0.36200000000000004,82.54899999999999,3,11,0,,339844,13,2019-11-01,0,37,36008,1,['7CPjagX3gF7woK0P7YNuKd']
Calle Cartel - Original Mix,Knowa Knowone,spotify:track:5CNGrHPF80WzrMagC74Ypa,0.685,0.863,7,-5.132999999999999,1,0.222,0.00525,0.43799999999999994,0.312,0.53,183.94400000000002,4,11,0,,262478,1,2012-04-16,0,10,2379,1,['1exB4rSeSRa1YwtziwS6cD']
Music for Zen Meditation,Dr. Sounds,spotify:track:3KXKtSkg1Q4nviG9mfRx5A,0.10800000000000001,0.0211,2,-29.136999999999997,0,0.0492,0.9540000000000001,0.9390000000000001,0.10099999999999999,0.0321,80.811,4,23,0,,403776,0,2015-05-28,0,40,2363,1,['2FOROU2Fdxew72QmueWSUy']
Beats That,Damma Beatz,spotify:track:02PsAuDOg0oN1CFDl8nujf,0.733,0.562,6,-9.647,0,0.0763,0.606,0.934,0.0932,0.34,90.05,4,7,0,,168000,25,2019-09-27,0,47,3647,1,['00WEbQMBzMtwbccrSjQwhJ']
Light,Sleeping At Last,spotify:track:5uq3x8Pg8HAj8qNwPFOzfl,0.22399999999999998,0.387,0,-9.022,1,0.0287,0.532,0.00548,0.0689,0.0395,104.566,4,9,0,,262533,58,2014-07-08,0,76,945627,1,['0MeLMJJcouYXCymQSHPn8g']
Circle,Feelds,spotify:track:30VCvIwyhgUXhJX7mN49C7,0.604,0.509,0,-6.4670000000000005,1,0.0363,0.22699999999999998,1.36e-05,0.11199999999999999,0.198,86.039,4,8,0,,180967,0,2018-03-30,0,37,2560,1,['74W4mKE9RR576xVZiMGE8W']
"Black Death, Nonetheless",Anorexia Nervosa,spotify:track:2fb4HnDnHBrCMBpg0GkdlI,0.271,0.897,1,-4.406000000000001,1,0.0576,4.01e-06,0.21600000000000003,0.377,0.21100000000000002,107.44,4,9,0,,317200,2,2016-01-01,0,24,23672,1,['1hLFppCfgvSTH9C6ftWOoU']
Nimeni on Feeniks,Synestesia,spotify:track:3bAwS9fv6erNiz0AQaEdwN,0.51,0.997,11,-3.3360000000000003,0,0.17,2.8699999999999996e-05,0.937,0.405,0.102,120.06,3,6,0,,190946,0,2016-10-15,0,10,770,1,['2qFjGRQKbV3SZ2uLyfe2rz']
Crystal Eyes,Mark Farner,spotify:track:5oaZGT3G6vaStYrnKGsaPm,0.62,0.748,2,-8.726,1,0.0298,0.0639,8.65e-05,0.141,0.628,96.52,4,10,0,,236306,0,2018-11-09,0,15,2167,1,['6EIXFRkQvNMjdmgoBz2Gb7']
Deep Dream,Niigata,spotify:track:6uZqFdxRsSXgswqtKKBYK7,0.179,0.0972,7,-26.884,0,0.0481,0.991,0.9420000000000001,0.10099999999999999,0.218,132.111,4,10,0,,224981,53,2017-09-29,0,49,727,1,['74md3IYnYrHUTG6GBfem9N']
I Just CAN't Stop,JFC,spotify:track:36wOcf3R4KJzqkGtWVskz9,0.445,0.9490000000000001,7,-2.6910000000000003,0,0.171,0.149,0.0,0.139,0.384,150.058,4,13,0,,260992,0,2015-11-07,0,14,281,1,['1UK9eflrrS3gl7Fohea05U']
Metal Negro,Imperius Profanus,spotify:track:0b3Pbb3HX0tILWwIHcSHLO,0.168,0.995,6,-1.236,0,0.293,1.35e-06,0.972,0.184,0.0699,163.599,4,11,0,,253906,0,2017-07-01,0,0,57,1,['0jIjQwE7nY8QPquzFIpLSH']
C'est la vie - Acoustic,Bobby Bazini,spotify:track:4f48FtoiA35zlY3rjQbawF,0.524,0.303,0,-6.772,1,0.0467,0.8420000000000001,0.0,0.11,0.523,185.62900000000002,4,9,0,,207906,5,2019-09-20,0,48,24071,1,['57FbfTkxFU7crAkIEtioth']
The Curse of the Black Rose (Live),Silent Knight,spotify:track:40OLIFGFrhc8BjmASbzewU,0.316,0.987,7,-3.5010000000000003,0,0.124,2.04e-06,0.0377,0.348,0.13699999999999998,159.983,4,12,0,,227573,1,2014-01-01,0,11,842,1,['5zt3YkAQNyHiVQ8iMPx01b']
Raise a Hallelujah (Studio Version),Bethel Music,spotify:track:4LnHfZGEitmIVS17wndaUI,0.42,0.823,1,-4.888999999999999,1,0.0434,0.00985,0.0,0.10300000000000001,0.517,163.997,4,12,0,,244040,61,2019-03-08,0,75,1089626,3,"['26T4yOaOoFJvUvxR87Y9HO', '7vKyyJZVFb16NTWrUV1fGp', '0cng44S55pPu1nDrtFFy7r']"
Island Life,Wolfgang Haffner,spotify:track:0vNjLKxmU7Oe5FhARox0QN,0.764,0.17600000000000002,2,-13.185,1,0.0392,0.31,0.8740000000000001,0.0869,0.165,114.031,4,12,0,,299280,0,2016-08-12,0,43,26284,5,"['4if1U9RYhAJN9msYzpsfwh', '32AFNkich94JXfGvIFqpkL', '3B74gpltsxmayfY8oLTyc6', '1mtaJAxoe50UVhxjG3BRDd', '4d0roMzc4feODS6OCmkJ5d']"
Thrash Violento,Holocausto,spotify:track:32ckrDjyX2bct4zH5drExg,0.33799999999999997,0.983,7,-5.716,1,0.106,0.00031600000000000004,0.0,0.6970000000000001,0.23399999999999999,102.663,4,10,0,,156734,0,2016-09-05,0,4,3418,1,['1KbNMerfU1RpYejMELPl3z']
Spiegel im Spiegel,Arvo Pärt,spotify:track:2uJ1OkUOhCjfvoKAhFPZgf,0.17800000000000002,0.0658,5,-21.197,1,0.036000000000000004,0.9840000000000001,0.0134,0.0594,0.0848,74.763,3,31,0,,623280,5,2019-07-19,0,58,212667,3,"['2P6ygesd9xg5DPOBnda2jg', '7nstqHP5wRNlaUeSByC86I', '0VkQgzGZUmazUc7ouT5S79']"
Home,Efence,spotify:track:2r5LyjwSPG7PVsXnKQ8iZQ,0.6609999999999999,0.5670000000000001,8,-11.64,0,0.0372,0.6829999999999999,0.904,0.115,0.0396,120.03299999999999,4,8,0,,196000,0,2017-09-22,0,34,11898,1,['3UQ87SmqkLxIMdenYnsLld']
Heart of Courage,Thomas Bergersen,spotify:track:4JtvyWkWQTPVcroZf8JJkp,0.40299999999999997,0.591,1,-8.126,1,0.0514,0.511,0.8959999999999999,0.10800000000000001,0.192,135.047,4,6,0,,117394,65,2010-05-03,0,70,730548,2,"['6BF0bXbsdujMSMeFZBGcBq', '2qvP9yerCZCS0U1gZU8wYp']"
Battle for Pride Rock,Hans Zimmer,spotify:track:2WGNFmRcApRC8znCuGtfXJ,0.177,0.473,0,-12.152000000000001,1,0.0489,0.233,0.895,0.16699999999999998,0.0514,100.87299999999999,4,22,0,,661066,41,2019-07-11,0,80,2262455,1,['0YC192cP3KPCRWx8zr8MfZ']
Boggie Bounce,Shonlock,spotify:track:6kG9aHIyH9CKIHE6iDGca8,0.861,0.5920000000000001,10,-5.603,0,0.0965,0.127,0.0,0.205,0.391,105.993,4,11,0,,223002,6,2017-06-23,0,42,23112,1,['0Fs18mA7TFMvYVRNX4dNTt']
Ballad Of The Sad Young Men,Charles Lloyd,spotify:track:2seZ8ZHnD5RQBkhT8RsBZu,0.474,0.11199999999999999,0,-17.762,1,0.0297,0.9740000000000001,0.873,0.11199999999999999,0.11599999999999999,106.514,4,16,0,,377320,42,2018-06-29,0,46,20813,1,['0GC1oqEWpiAjfE7jm5LQO5']
Anarchy Road,Carpenter Brut,spotify:track:76Y7zlowwANR9HfRIOiDoc,0.55,0.843,6,-3.0380000000000003,0,0.0375,0.0038399999999999997,0.294,0.319,0.204,107.005,4,7,0,,213084,47,2015-01-01,0,63,260040,1,['1l2oLiukA9i5jEtIyNWIEP']
COUNTRY,Dean Blunt,spotify:track:1ELigAvakqysvIg1qURxPW,0.479,0.868,1,-7.715,1,0.344,0.209,0.7240000000000001,0.201,0.494,48.888000000000005,4,5,0,,130986,20,2014-11-03,0,50,45316,1,['5CFSYjc0PAiQvndFjafabk']
Plus Ultra,Carousel Kings,spotify:track:5WLvGmjfyAEYCvFNsLon0i,0.495,0.9740000000000001,6,-3.596,1,0.109,2.72e-05,6.81e-06,0.166,0.48700000000000004,90.999,4,10,0,,195386,39,2019-05-31,0,41,30008,1,['2Dr2zHoPEuASW1kOODc5I2']
Ska-Metal,Cólera,spotify:track:2L1e4K4qIVU3q3sypht0OX,0.42100000000000004,0.9520000000000001,5,-5.746,1,0.262,0.0818,0.00022999999999999998,0.0814,0.531,83.46799999999999,4,7,0,,206629,8,2018-03-16,0,33,20598,1,['6S6ll1Wa6FYvAgThEBX6qJ']
I Am the Beasts of Death,Winterwolf,spotify:track:5c3EXg1Oa7LtSpAfxxhUTG,0.16399999999999998,0.91,6,-10.353,1,0.0887,8.64e-06,0.914,0.276,0.17800000000000002,94.964,4,8,0,,285807,0,2019-06-14,0,6,1297,1,['0i8pqigDVvVXfmrG9rEBp7']
Children of Doom,Helllight,spotify:track:2UQkXhgKgW3GP1gJiM1xqa,0.0752,0.361,4,-10.133,1,0.0324,0.000135,0.815,0.0708,0.0392,79.46,4,40,0,,739826,0,2010-01-01,0,11,2426,1,['6rIlgMYN39qj3M02XzUome']
The Obelus,Novembers Doom,spotify:track:5xMdNZDNEERWjfWGTXOjpk,0.494,0.934,8,-13.347999999999999,1,0.0561,1.15e-05,0.0606,0.212,0.182,130.026,4,14,0,,346003,11,2019-11-01,0,37,36008,1,['7CPjagX3gF7woK0P7YNuKd']
Proud of You,A L E X,spotify:track:6mRmaBAb8ysO3pcGDaegL2,0.82,0.281,8,-15.194,0,0.0802,0.8690000000000001,0.961,0.0925,0.62,104.988,4,5,0,,182869,63,2018-06-18,0,64,70151,2,"['3nCJkmgdZQ6l8o828Y3vNQ', '60J5TDNg9Xxp9zxDXpBOjM']"
Shots,Lil Jon,spotify:track:7cWNahjynBEP4wuXXhU0m6,0.8220000000000001,0.865,1,-2.441,1,0.0469,0.00889,1.27e-06,0.122,0.16899999999999998,128.017,4,10,0,,218000,50,2010-01-01,8,77,4602936,2,"['7sfl4Xt5KmfyDs2T3SVSMK', '3sgFRtyBnxXD5ESfmbK4dl']"
Not a Daughter,Agoraphobic Nosebleed,spotify:track:2KYQTOhhOjLiHtiJkgkqWh,0.23600000000000002,0.9109999999999999,9,-5.437,1,0.0675,3.74e-06,0.8420000000000001,0.13699999999999998,0.16699999999999998,144.89600000000002,4,11,0,,419537,31,2016-01-22,0,32,28217,1,['5DVkkJqypmjmRLJL9UurmI']
Jewel,Flume,spotify:track:7cPO2IPraPDlGIguekShlV,0.46399999999999997,0.496,0,-6.688,1,0.0447,0.163,0.0005009999999999999,0.7829999999999999,0.0803,113.31700000000001,4,9,0,,193732,54,2019-03-20,0,77,2082088,1,['6nxWCVXbOlEVRexSbLsTer']
No Diggity,Nick Murphy / Chet Faker,spotify:track:2xD7RvKFJl52xyds3wQFXQ,0.574,0.764,2,-4.797,0,0.228,0.6779999999999999,0.000974,0.11599999999999999,0.473,160.04399999999998,4,8,0,,221533,56,2012-03-01,0,69,104858,1,['6UcJxoeHWWWyT5HZP064om']
Anthology (Daft Punk Tribute) (EFL092),OVERWERK,spotify:track:5rQNvwBagYhlgkHBvtgDAP,0.784,0.799,5,-6.7,0,0.065,0.00305,0.0013800000000000002,0.419,0.613,128.871,4,12,0,,193440,24,2016-08-30,0,52,113978,1,['2f9PTWJfMMDTAFZcvHy1Z5']
Blues Don't Care,Buddy Guy,spotify:track:5fs3sNq3KK9jpbTNCf324m,0.371,0.941,4,-2.7110000000000003,1,0.0779,0.0882,0.0373,0.0658,0.767,121.006,4,11,0,,207000,32,2013-07-29,0,69,1326238,2,"['2gCsNOpiBaMNh20jQ5prf0', '01aC2ikO4Xgb2LUpf9JfKp']"
IN THE NAME OF,BABYMETAL,spotify:track:3wgBCEAT15oNbRw8NAr83h,0.48700000000000004,0.978,9,-4.4110000000000005,1,0.102,0.00016299999999999998,0.7709999999999999,0.149,0.0375,129.994,4,9,0,,270625,36,2019-10-11,0,69,714045,1,['630wzNP2OL7fl4Xl0GnMWq']
Metal Opus 1 C#m,Golden Resurrection,spotify:track:6W3Xaav5fVlsYACoB9HzV5,0.158,0.872,9,-7.15,1,0.05,8.1e-05,0.9420000000000001,0.132,0.5,159.915,4,12,0,,261733,15,2011-10-28,0,26,8943,1,['0xxD4XGSICjmlWybbgJLHz']
Smoking in the Rental,Ducktails,spotify:track:1EcWJJXyIDFjn7UZsfb8wO,0.66,0.5539999999999999,8,-9.219,1,0.07200000000000001,0.311,0.862,0.0896,0.8540000000000001,79.958,4,7,0,,172042,17,2019-09-30,0,41,57558,1,['5FQbU5Lrb4pFcW45ZgZzMx']
Howl In the Sky,Biscaya,spotify:track:6qci8ivMbW2Be81nfqG5jY,0.33399999999999996,0.963,9,-7.399,1,0.10800000000000001,0.000982,0.00678,0.115,0.122,130.387,4,10,0,,291866,0,2017-04-11,0,6,388,1,['16yrXfpGTlW130vPY6vJe9']
Fed Upon Odium,Beheaded,spotify:track:7iz4bbW4A8zbNOfYN9dgTp,0.218,0.986,1,-4.865,0,0.166,6.0899999999999996e-05,0.051,0.191,0.0364,81.226,4,12,0,,247380,0,2018-06-22,0,19,9369,1,['4J08tm60Pk8FMQynk0Up4o']
Fade To Black,Apoptygma Berzerk,spotify:track:0XrMaMIwibOjhxw7bNpjOM,0.501,0.958,7,-5.64,1,0.0444,0.00133,0.616,0.0888,0.426,131.986,4,10,0,,300746,2,2014-12-23,0,48,54591,1,['3OHbToMuJihWhRcqzKjpBd']
Hopeful Shivering,Apocryphal,spotify:track:3xy2AxrchPiAtx4AHkM5UZ,0.547,0.647,11,-9.015,0,0.0371,0.124,0.007520000000000001,0.10400000000000001,0.182,120.045,4,17,0,,392375,0,2016-09-30,0,0,41,1,['7wiyiRqbMCETiMKK97NFiN']
Offline,Diljit Dosanjh,spotify:track:706gHej9w5VoOCHVOkgHRs,0.731,0.48700000000000004,8,-7.63,0,0.0464,0.629,0.0,0.08900000000000001,0.45,94.999,4,8,0,,197521,3,2018-12-26,0,73,4548715,1,['2FKWNmZWDBZR4dE5KX4plR']
Screaming,Marshall Law,spotify:track:2eyEDTlRU8xhcnopzQUh0X,0.313,0.852,11,-13.922,0,0.0614,0.00115,0.6890000000000001,0.3,0.35700000000000004,189.584,4,7,0,,308640,1,2017-10-18,0,7,224,1,['4Cs7ygUeQ5R3hUKPdlzEZI']
Gravedigger's Chant,Zeal & Ardor,spotify:track:1vWWlYogjUMdHOpZEQkLEw,0.521,0.58,7,-7.155,1,0.0312,0.10300000000000001,0.006999999999999999,0.19399999999999998,0.377,63.978,3,6,0,,191213,39,2018-06-08,0,54,95607,1,['6yCjbLFZ9qAnWfsy9ujm5Y']
How Can I Tell You - Live,Charles Lloyd,spotify:track:4ZUlQw3KS7qiBrgJxSyel0,0.385,0.3,3,-12.745999999999999,1,0.0363,0.975,0.374,0.769,0.253,90.70299999999999,4,25,0,,586185,48,2017-07-14,0,46,20813,1,['0GC1oqEWpiAjfE7jm5LQO5']
Worried Man Blues,The Carter Family,spotify:track:4udqeAFUTO8nCw2cjsTwVX,0.7140000000000001,0.344,10,-13.333,1,0.032,0.746,0.0,0.11900000000000001,0.769,106.685,4,10,0,,166413,17,2017-05-12,0,44,36240,1,['0FRIWJYklnmsll5M6h4gUL']
Moon,Kid Francescoli,spotify:track:0Nc1rZEB2tZLgpxw5nkpEu,0.6629999999999999,0.6579999999999999,2,-10.001,1,0.0345,0.295,0.867,0.102,0.0532,117.986,4,16,0,,390638,7,2017-03-03,0,63,86979,1,['2G7QgTep5IsJHGHm1hXygD']
Killin Dem,Zlatan,spotify:track:4cxyQw1AKCVqa9JVSN7njk,0.8759999999999999,0.8079999999999999,3,-5.382000000000001,0,0.17600000000000002,0.107,0.00447,0.121,0.745,112.92299999999999,4,11,0,,220884,54,2019-01-03,0,82,669711,2,"['4mSWNal2Ixxf1zrXSTLoep', '3wcj11K77LjEY1PkEazffa']"
I Feel Alive,Ramin Djawadi,spotify:track:2GP6cPGsGLtiy99uJZ5ZL5,0.0707,0.0661,5,-22.432,0,0.0403,0.941,0.9790000000000001,0.0868,0.0326,76.23899999999999,5,6,0,,159623,52,2017-10-06,0,74,442531,1,['1hCkSJcXREhrodeIHQdav8']
Cornbread and Butterbeans,Carolina Chocolate Drops,spotify:track:0Szig4psER1ESRarCgahmn,0.67,0.45399999999999996,7,-8.477,1,0.0367,0.853,0.0,0.11900000000000001,0.7929999999999999,110.98299999999999,4,8,0,,189760,42,2010-01-01,0,44,106336,1,['6H8Sj9gFyDYJ3T63LA3DKz']
When Doomdays Has Come,Procession,spotify:track:0ogteGLYh2l3HHEIMXbp3U,0.281,0.9620000000000001,8,-5.752000000000001,1,0.0832,0.00022799999999999999,5.99e-05,0.0648,0.485,121.272,4,11,0,,218758,8,2017-10-31,0,10,3346,1,['7u0VZPl9VSHc9PZDuI4RGJ']
OMG Rock n Roll,Kevin Morby,spotify:track:002ZKDDKt6oObJzIQq5Mrv,0.42700000000000005,0.774,9,-4.377,1,0.0502,0.287,0.6779999999999999,0.10800000000000001,0.154,125.113,4,8,0,,149120,36,2019-04-26,0,65,188642,1,['6fxk3UXHTFYET8qCT9WlBF']
Casino De Capri,The Bahama Soul Club,spotify:track:6DuhmGmdmxNDEdSqH7Sjt9,0.767,0.47100000000000003,3,-10.892000000000001,0,0.0328,0.18,0.867,0.0797,0.539,109.98299999999999,4,9,0,,270373,44,2016-11-11,0,49,22811,1,['2xcyMeQhPSRjXrSVZDkVGo']
Feel The Music,Guru,spotify:track:2oIOQZ4F8OIq6eImaANR00,0.7829999999999999,0.605,4,-10.574000000000002,1,0.106,0.0222,0.00499,0.265,0.848,100.397,4,9,0,,237733,1,2019-02-22,0,58,214481,4,"['6xyaria4AcxjRuJZLkWvMW', '4BhiV5JTPRMplzEuBPK6Ie', '5FEcqRnQYuAb8QyZginKaa', '1dpH2N2f3HJ3D48z2q78br']"
Chebika - Claudio Mate Metal Remix,Stefano Patarnello,spotify:track:5ogO08piWMP73zAB1nip13,0.624,0.863,7,-8.142000000000001,0,0.03,3.78e-06,0.945,0.0849,0.0394,119.993,4,12,0,,386000,0,2015-10-30,0,1,478,2,"['2PoYQgahZ587xnM1Y6kla4', '0b3scCOmbldVtJgOJT0hy3']"
I Hit It First,Hella,spotify:track:4b2f8CQLBKJXmkqc6QfUBU,0.599,0.7559999999999999,7,-8.592,0,0.0407,0.0502,0.0534,0.18,0.145,98.006,4,7,0,,204704,0,2019-10-18,0,37,43865,1,['1n861RIk6CTAWncgHR9UHg']
Vanille fraise,L'Impératrice,spotify:track:7nZ9CzhiFRPhOQCn7eDSnn,0.767,0.547,7,-11.458,0,0.0474,0.0399,0.485,0.0949,0.66,103.03,4,9,0,,238183,63,2015-01-01,0,63,191178,1,['4PwlsrN0t5mLN0C827cbEU']
Cheap Thrills,Freedom Dub,spotify:track:2OiOPd52LlkVcXFQElxoPK,0.754,0.615,6,-8.746,0,0.0461,0.0304,0.0057799999999999995,0.179,0.62,90.005,4,9,0,,216421,37,2017-10-27,0,48,4545,1,['4KWmY9RioiBzILyhpJjQ3J']
Sauda Khara Khara,Diljit Dosanjh,spotify:track:4LLvxxkWtt818FNO3cbsdo,0.687,0.919,10,-3.28,1,0.0635,0.0939,4.38e-06,0.105,0.877,145.037,4,10,0,,211034,61,2019-12-03,0,73,6813448,5,"['2FKWNmZWDBZR4dE5KX4plR', '7bcSOvqOKoyZqU41p5YuoJ', '1OPqAyxsQc8mcRmoNBAnVk', '1jPeDHvfU5Knw8VyOP6TZN', '4VS3XraXs2LRsowQnQ7VFh']"
Soft Music/Juno Portraits Of The Jovian Sky,of Montreal,spotify:track:5V8co6Vavse9sOwIksEprS,0.653,0.74,5,-4.946000000000001,1,0.0398,0.0359,1.47e-06,0.0469,0.746,138.015,4,16,0,,335893,30,2018-03-09,0,57,239110,1,['5xeBMeW0YzWIXSVzAxhM8O']
Glint,Deafheaven,spotify:track:2x5OP2zk25OLNuErjOinfY,0.213,0.966,7,-5.3,0,0.0863,1.06e-05,0.878,0.142,0.14300000000000002,94.38799999999999,4,19,0,,657005,33,2018-07-13,0,47,138624,1,['4XpPveeg7RuYS3CgLo75t9']
I Made a Mistake,Harold Burrage,spotify:track:6i1xBAmezSnb0gkjHpFySv,0.51,0.431,8,-10.048,0,0.11800000000000001,0.503,0.0,0.182,0.77,86.959,3,6,0,,117200,1,2012-08-08,0,10,264,2,"['21XSS3GkVX88nFHdTIpuGa', '5T0WVo9neRRJ5YojHh4Zb6']"
