name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id
Canceled,Larray,3VxOgQ9o1aKonFx4d5lPR3,0.647,0.8029999999999999,-5.36,0,0.389,0.13699999999999998,4.06e-06,0.0952,0.55,82.10799999999998,173880,4,7,1,2020-10-31,72,2020-10-18,0,62,185134,1,['0rQjJGZLXBq95OA3nSmDj9'],11,0rQjJGZLXBq95OA3nSmDj9
Happy Does,Kenny Chesney,2v08cjj3Th8RpfJgluECcj,0.715,0.665,-5.4860000000000015,1,0.0381,0.301,0.0,0.123,0.593,109.019,168733,4,7,1,2020-10-31,69,2020-05-01,799,77,3194829,1,['3grHWM9bx2E9vwJCdlRv9O'],6,3grHWM9bx2E9vwJCdlRv9O
Throat Baby (Go Baby),BRS Kash,31iqpzg1ZXLLgq0L5iIwLe,0.9,0.521,-7.286,0,0.147,0.0135,0.0,0.0951,0.213,132.007,218181,4,9,1,2020-10-31,76,2020-07-24,1,63,3931,1,['5jJjvmEwRr8epuGZq4eUUa'],4,5jJjvmEwRr8epuGZq4eUUa
Pardon (feat. Lil Baby),T.I.,5W3z7a1dBlERTBAye0murh,0.955,0.5870000000000001,-5.894,0,0.32,0.181,0.0,0.585,0.901,111.975,259958,4,13,1,2020-10-31,71,2020-10-16,369,95,8858629,2,"['4OBJLual30L7gRl5UkeRcT', '5f7VJjfbwm532GiveGC0ZK']",10,4OBJLual30L7gRl5UkeRcT
Champagne Night - From Songland,Lady A,48F2xnWq3LuzYWML327Z2r,0.523,0.927,-2.7960000000000003,1,0.0489,0.0272,5.98e-06,0.168,0.939,149.929,185069,4,7,1,2020-10-31,67,2020-06-12,1,75,3090515,1,['32WkQRZEVKSzVAAYqukAEA'],4,32WkQRZEVKSzVAAYqukAEA
"Baby, I'm Jealous (feat. Doja Cat)",Bebe Rexha,2fTdRdN73RgIgcUZN33dvt,0.737,0.867,-2.259,0,0.0458,0.0398,0.0,0.32,0.506,98.05,175873,4,9,1,2020-10-24,83,2020-10-09,64,89,9836257,2,"['64M6ah0SkkRsnPGtGiRAbb', '5cj0lLjcoR7YOSnhnX0Po5']",11,64M6ah0SkkRsnPGtGiRAbb
hole in the bottle - ballerini album version,Kelsea Ballerini,1f6BZccfonUYohfGJIeBR1,0.672,0.552,-6.375,1,0.0316,0.504,0.0,0.0636,0.594,105.02,152440,4,10,1,2020-10-24,69,2020-09-11,115,75,815899,1,['3RqBeV12Tt7A8xH3zBDDUF'],4,3RqBeV12Tt7A8xH3zBDDUF
Sofia,Clairo,7B3z0ySL9Rr0XvZEAjWZzM,0.7440000000000001,0.619,-9.805,1,0.039,0.598,0.00372,0.231,0.6409999999999999,112.997,188386,4,8,1,2020-10-24,89,2019-08-02,0,86,1769632,1,['3l0CmX0FuQjFxr8SK7Vqag'],0,3l0CmX0FuQjFxr8SK7Vqag
Runnin,21 Savage,5SWnsxjhdcEDc7LJjq9UHk,0.8190000000000001,0.626,-4.574,0,0.202,0.00748,0.101,0.16699999999999998,0.415,143.01,195906,4,9,1,2020-10-17,86,2020-10-02,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",10,1URnnhqYAYcrqrcwql10ft
Mr. Right Now (feat. Drake),21 Savage,4Q34FP1AT7GEl9oLgNtiWj,0.647,0.667,-5.563,1,0.304,0.231,0.0,0.133,0.7040000000000001,172.08,193838,4,10,1,2020-10-17,87,2020-10-02,114,100,61367269,3,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp', '3TVXtAsR1Inumwj472S9r4']",5,1URnnhqYAYcrqrcwql10ft
Wonder,Shawn Mendes,5KCbr5ndeby4y4ggthdiAb,0.333,0.637,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,172692,4,7,1,2020-10-17,92,2020-10-02,267,91,29729353,1,['7n2wHs1TKAczGzO7Dd2rGr'],1,7n2wHs1TKAczGzO7Dd2rGr
Glock In My Lap,21 Savage,6pcywuOeGGWeOQzdUyti6k,0.847,0.733,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,130.029,193591,4,10,1,2020-10-17,82,2020-10-02,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",10,1URnnhqYAYcrqrcwql10ft
Rich N*gga Sh*t (feat. Young Thug),21 Savage,1Wt5tponmRQp7JgasjIvSf,0.82,0.718,-5.417000000000002,0,0.0962,0.438,0.0,0.11,0.599,97.994,190330,4,12,1,2020-10-17,56,2020-10-01,114,93,16438124,3,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp', '50co4Is1HCEo8bhOyUWKpn']",1,1URnnhqYAYcrqrcwql10ft
Don’t Stop (feat. Young Thug),Megan Thee Stallion,3yv7994DWTEk3ihwy75YBQ,0.933,0.757,-3.212,1,0.117,0.00184,0.0,0.135,0.544,137.993,187940,4,8,1,2020-10-17,79,2020-10-02,104,93,8024272,2,"['181bsRPaVXVlUKXrxwZfHK', '50co4Is1HCEo8bhOyUWKpn']",2,181bsRPaVXVlUKXrxwZfHK
Slidin,21 Savage,7fxSLnklnayJNBIKntXedZ,0.774,0.706,-6.494,1,0.355,0.0016300000000000002,1.28e-06,0.104,0.382,152.891,185036,4,6,1,2020-10-17,78,2020-10-02,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",2,1URnnhqYAYcrqrcwql10ft
Many Men,21 Savage,3CDVMejYHnB1SkEEx0T1N4,0.635,0.7929999999999999,-4.333,0,0.0322,0.000647,0.747,0.113,0.281,77.594,201856,4,9,1,2020-10-17,79,2020-10-02,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",10,1URnnhqYAYcrqrcwql10ft
Fallin’ (Adrenaline),Why Don't We,5GhJIMWAw0uMLgkdbt6uMz,0.606,0.9,-4.504,1,0.119,0.0101,0.0,0.075,0.233,133.963,216504,4,8,1,2020-10-17,81,2020-09-29,0,80,2392961,1,['2jnIB6XdLvnJUeNTy5A0J2'],0,2jnIB6XdLvnJUeNTy5A0J2
Outta Time (feat. Drake),Bryson Tiller,4SCnCPOUOUXUmCX2uHb3r7,0.7140000000000001,0.5820000000000001,-7.272,0,0.0808,0.0129,0.0,0.0774,0.338,92.819,198821,4,9,1,2020-10-17,76,2020-10-02,50,100,55018651,2,"['2EMAnMvWE2eb56ToJVfCWs', '3TVXtAsR1Inumwj472S9r4']",5,2EMAnMvWE2eb56ToJVfCWs
My Dawg,21 Savage,42Tohunwlh34o0mgxYx5iq,0.831,0.532,-5.319,0,0.301,0.0652,0.0,0.464,0.364,140.105,181715,4,7,1,2020-10-17,76,2020-10-02,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",0,1URnnhqYAYcrqrcwql10ft
Brand New Draco,21 Savage,4V9ynsDPwHtdItksqjuRu0,0.6970000000000001,0.7090000000000001,-6.642,0,0.298,0.041,0.000296,0.0886,0.439,155.023,202420,4,9,1,2020-10-17,75,2020-10-02,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",11,1URnnhqYAYcrqrcwql10ft
Lovesick Girls,BLACKPINK,4Ws314Ylb27BVsvlZOy30C,0.6579999999999999,0.733,-4.756,1,0.0586,0.006679999999999999,0.0,0.118,0.464,127.977,192760,4,9,1,2020-10-17,86,2020-10-02,7,94,16389705,1,['41MozSoPIsD1dJM0CLPjZF'],6,41MozSoPIsD1dJM0CLPjZF
Snitches & Rats (feat. Young Nudy),21 Savage,3WaDoMDQRqDdgtCDLxanpN,0.821,0.6709999999999999,-5.893,1,0.18,0.00843,8.499999999999999e-05,0.0972,0.494,145.953,187772,4,8,1,2020-10-17,73,2020-10-02,114,91,11304368,3,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp', '5yPzzu25VzEk8qrGTLIrE1']",9,1URnnhqYAYcrqrcwql10ft
No Opp Left Behind,21 Savage,50I7FNN2rl2rWiNwGxS146,0.823,0.703,-2.6910000000000003,1,0.298,0.0161,1.35e-06,0.294,0.26,178.043,194214,4,9,1,2020-10-17,74,2020-10-02,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",8,1URnnhqYAYcrqrcwql10ft
Levitating (feat. DaBaby),Dua Lipa,463CkQjx2Zk1yXoBuierM9,0.7020000000000001,0.825,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4,10,1,2020-10-17,88,2020-10-01,151,95,25350371,2,"['6M2wZ9GZgrQXHCFfjv46we', '4r63FhuTkUYltbVAg5TQnk']",6,6M2wZ9GZgrQXHCFfjv46we
Steppin On N*ggas,21 Savage,6higdpilQBtxJDp1vUuPaw,0.8420000000000001,0.6459999999999999,-3.897,1,0.239,0.000816,2.8300000000000007e-05,0.0636,0.726,89.51700000000002,140832,4,7,1,2020-10-17,52,2020-10-01,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",7,1URnnhqYAYcrqrcwql10ft
RIP Luv,21 Savage,1wGnp7ejkCuXRsehXx0PNP,0.63,0.399,-9.869,0,0.17800000000000002,0.105,0.174,0.234,0.0657,183.016,214192,3,9,1,2020-10-17,74,2020-10-02,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",5,1URnnhqYAYcrqrcwql10ft
Always Forever,Bryson Tiller,1LV5cAo02H8h5YlZNcjULM,0.605,0.489,-7.234,0,0.174,0.168,2.36e-06,0.187,0.326,147.341,170053,4,10,1,2020-10-17,71,2020-10-02,50,84,4445271,1,['2EMAnMvWE2eb56ToJVfCWs'],10,2EMAnMvWE2eb56ToJVfCWs
Years Go By,Bryson Tiller,4SVTus5gJc5cfkFZ8ELK1p,0.374,0.5770000000000001,-7.085,1,0.302,0.0279,5.6e-06,0.562,0.0658,184.201,179976,4,8,1,2020-10-17,71,2020-10-02,50,84,4445271,1,['2EMAnMvWE2eb56ToJVfCWs'],1,2EMAnMvWE2eb56ToJVfCWs
Said N Done,21 Savage,11XegnWeJHBDtj9IsNwngu,0.775,0.5660000000000001,-6.6610000000000005,1,0.28300000000000003,0.0381,0.000341,0.127,0.479,160.351,231831,4,9,1,2020-10-17,73,2020-10-02,114,91,10793889,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']",11,1URnnhqYAYcrqrcwql10ft
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,4jVBIpuOiMj1crqd8LoCrJ,0.835,0.6990000000000001,-5.405,0,0.277,0.00671,0.0,0.195,0.547,154.981,202794,4,8,1,2020-10-10,86,2020-09-25,202,96,20021527,3,"['0Y5tJX1MQlPlqiwlOH1tJY', '50co4Is1HCEo8bhOyUWKpn', '0QJIPDAEDILuo8AIq3pMuU']",8,0Y5tJX1MQlPlqiwlOH1tJY
forget me too (feat. Halsey),Machine Gun Kelly,1VSuFS7PahCN3SWbOcQ98m,0.654,0.875,-4.845,1,0.0744,0.000417,0.0086,0.194,0.522,99.975,171620,4,9,1,2020-10-10,82,2020-09-25,40,91,15300652,2,"['6TIYQ3jFPwQSRmorSezPxX', '26VFTg2z8YR0cCuwLzESi2']",1,6TIYQ3jFPwQSRmorSezPxX
Epidemic,Polo G,170DNUSnQRp1tGpppF26pA,0.616,0.617,-8.431000000000001,1,0.52,0.128,0.0,0.177,0.476,175.929,177272,4,7,1,2020-10-10,81,2020-09-25,61,90,2375024,1,['6AgTAQt8XS6jRWi4sX7w49'],1,6AgTAQt8XS6jRWi4sX7w49
bloody valentine,Machine Gun Kelly,6mADjHs6FXdroPzEGW6KVJ,0.5329999999999999,0.858,-4.212,1,0.0766,0.00021,0.0,0.14800000000000002,0.506,160.05700000000004,205158,4,7,1,2020-10-10,80,2020-09-25,40,91,2688637,1,['6TIYQ3jFPwQSRmorSezPxX'],2,6TIYQ3jFPwQSRmorSezPxX
U 2 Luv,Ne-Yo,3862MQcbNmghGJDfk8cOJi,0.626,0.5920000000000001,-7.085,1,0.147,0.138,0.000312,0.0957,0.65,177.715,208215,4,11,1,2020-10-10,68,2020-05-29,274,82,10212822,2,"['21E3waRsmPlU7jZsS13rcj', '3KV3p5EY4AvKxOlhGHORLg']",6,21E3waRsmPlU7jZsS13rcj
Better,ZAYN,1dLXLETYiZohIZWnse4ypG,0.637,0.418,-7.1370000000000005,1,0.301,0.353,0.0,0.131,0.0807,84.295,174516,4,7,1,2020-10-10,83,2020-09-25,0,85,13397755,1,['5ZsFI1h6hIdQRw2ti0hz81'],2,5ZsFI1h6hIdQRw2ti0hz81
drunk face,Machine Gun Kelly,3k0YJnqMKRZb8swo86vCkq,0.691,0.77,-4.578,0,0.0367,0.0282,0.0,0.4970000000000001,0.344,90.024,143900,4,7,1,2020-10-10,76,2020-09-25,40,91,2688637,1,['6TIYQ3jFPwQSRmorSezPxX'],7,6TIYQ3jFPwQSRmorSezPxX
"Big, Big Plans",Chris Lane,7yNJCsUH3tXlpQiHSsAc5l,0.574,0.58,-6.091,1,0.0278,0.076,0.0,0.12,0.4,149.974,187306,4,8,1,2020-10-10,75,2019-06-28,49,70,418774,1,['68abRTdO4meYReMWHvBYb0'],7,68abRTdO4meYReMWHvBYb0
"Ay, DiOs Mío!",KAROL G,7x4ASXYEKfQBCewcZhK776,0.718,0.7120000000000001,-4.3660000000000005,1,0.174,0.512,0.00121,0.104,0.531,180.03400000000005,189653,4,10,1,2020-10-10,92,2020-07-10,0,89,12821420,1,['790FomKkXshlbRYZFtlgla'],11,790FomKkXshlbRYZFtlgla
GOOD TIME,Niko Moon,5Kpg1A7BOHpBbaT3H3xqd3,0.79,0.6459999999999999,-5.877999999999999,1,0.0447,0.132,0.0,0.295,0.6409999999999999,138.047,214706,4,9,1,2020-10-10,67,2020-02-14,1,62,20249,1,['6Rw7DRa1dzChBvxGPCpOxU'],5,6Rw7DRa1dzChBvxGPCpOxU
Put Your Records On,Ritt Momney,6AGOKlMZWLCaEJGnaROtF9,0.399,0.491,-10.778,0,0.0538,0.0563,0.0008900000000000002,0.11,0.151,91.066,210463,4,9,1,2020-10-10,93,2020-04-24,1,81,61271,1,['7MPGCB854Qo4alYMOPkBka'],6,7MPGCB854Qo4alYMOPkBka
Money Over Fallouts,Tory Lanez,6wxQ60q4I3qWNjwBgftVN0,0.568,0.665,-7.356,1,0.404,0.03,0.0,0.205,0.444,124.741,282106,5,13,1,2020-10-10,63,2020-09-25,75,87,3308121,1,['2jku7tDXc6XoB6MO2hFuqg'],8,2jku7tDXc6XoB6MO2hFuqg
Holy (feat. Chance The Rapper),Justin Bieber,5u1n1kITHCxxp8twBcZxWy,0.6729999999999999,0.7040000000000001,-8.056000000000001,1,0.36,0.196,0.0,0.0898,0.3720000000000001,86.919,212093,4,11,1,2020-10-03,95,2020-09-18,420,96,44230184,2,"['1uNFoZAHBGtllmzznpCI3s', '1anyVhU62p31KFi8MEzkbf']",6,1uNFoZAHBGtllmzznpCI3s
Diamonds,Sam Smith,5hvwx5i67IwnCkjl9VHkNv,0.653,0.667,-6.7639999999999985,0,0.0423,0.154,0.0,0.107,0.556,104.181,213869,4,9,1,2020-10-03,88,2020-09-17,219,92,14294179,1,['2wY79sveU1sp5g7SokKOiI'],10,2wY79sveU1sp5g7SokKOiI
Without You,Luke Combs,3zxAw8PaqpeGZ3Pakkxv3J,0.522,0.659,-6.016,1,0.0304,0.307,0.0,0.102,0.355,141.996,224986,4,13,1,2020-10-03,71,2020-10-23,199,88,3772339,2,"['718COspgdWOnwOFpJHRZHS', '5yN0nwLpUCaZ2gr67bndCN']",6,718COspgdWOnwOFpJHRZHS
